benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,mean_oracle_eval_time_sec
branin,random,0,1.116465449333191,-1.514352798461914,4.1411098330281675,0.2300364375114441,0.10423213988542557,0.0,0.12570364773273468,1.1706013538059779e-05
branin,random,1,1.8101118803024292,-2.2079992294311523,3.6504623749060556,0.20277723670005798,0.07531342655420303,0.0,0.12736837565898895,1.1763936527131591e-05
branin,random,2,1.0392721891403198,-1.437159538269043,3.654339207918383,0.20299427211284637,0.07612966746091843,0.0,0.12676827609539032,1.1624872058746405e-05
branin,random,3,4.04223108291626,-4.440118312835693,3.6645862080622464,0.2035633772611618,0.07649818807840347,0.0,0.12697230279445648,1.1594843272177968e-05
branin,random,4,0.8985718488693237,-1.2964591979980469,3.66209883405827,0.20342516899108887,0.07688501477241516,0.0,0.1264471709728241,1.1694326531141996e-05
branin,gfn,0,2.7931816577911377,-3.1910691261291504,128.01368866697885,7.111843585968018,0.07854124903678894,6.841921806335449,0.19128042459487915,1.1983774129475933e-05
branin,gfn,1,2.4968526363372803,-2.894740104675293,127.57822149991989,7.08765172958374,0.07763960212469101,6.817673206329346,0.19224043190479279,1.1627413186943159e-05
branin,gfn,2,1.0392721891403198,-1.437159538269043,127.37449812493287,7.076333999633789,0.07756610959768295,6.807565689086914,0.19110094010829926,1.1039438504667487e-05
branin,gfn,3,3.0234591960906982,-3.421346664428711,127.66289616702124,7.092355728149414,0.07791653275489807,6.822930812835693,0.19141031801700592,1.0960780855384655e-05
branin,gfn,4,1.3767908811569214,-1.7746782302856445,129.7219919579802,7.20674991607666,0.07789114862680435,6.933950424194336,0.19481205940246582,1.174315002572257e-05
