benchmark,method,final_regret_mean,final_regret_std,final_best_mean,final_best_std,total_time_mean_sec,total_time_std_sec,iter_time_mean_sec,surrogate_time_mean_sec,gfn_train_time_mean_sec,proposal_time_mean_sec
branin,random,1.762634038925171,1.1016825542810689,-2.160521411895752,1.101682593504537,0.2433128748089075,0.31912497899869924,0.060827630758285525,0.055004320479929446,0.0,0.005728533398360014
branin,gfn,2.309747338294983,0.977532103097436,-2.7076347351074217,0.9775321531213111,0.6228693001903594,0.015464443450442317,0.15571688413619994,0.01643654741346836,0.1220280408859253,0.017138670757412912
hartmann6,random,2.056461977958679,0.6068369695890872,1.2659060478210449,0.6068369640167423,0.08837127520237117,0.0005754325403142705,0.022092512622475625,0.016086672991514207,0.0,0.005904214642941952
hartmann6,gfn,2.0463018655776977,0.5996284954151128,1.2760661482810973,0.5996284988903334,0.8086485667852685,0.018273323771820445,0.20216180980205536,0.016853898391127588,0.16340902149677278,0.02178550399839878
ackley10,random,19.76451873779297,0.5366291272624639,-19.76451873779297,0.5366291272624639,0.09373892501462251,0.001609360913502484,0.023434419184923172,0.017249439284205435,0.0,0.006093989592045546
ackley10,gfn,19.76451873779297,0.5366291272624639,-19.76451873779297,0.5366291272624639,1.0227892669616268,0.01732831173733315,0.2556969463825226,0.018347637355327608,0.2094486266374588,0.02778318151831627
