benchmark,regret_gain_of_gfn,extra_time_sec_for_gfn,slowdown_factor,regret_gain_per_extra_hour
branin,-0.547113299369812,0.37955642538145185,2.5599520809556298,-5189.236029272537
hartmann6,0.010160112380981356,0.7202772915828973,9.150581622065028,50.781004758808606
ackley10,0.0,0.9290503419470042,10.911041136881822,0.0
