benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_step_improvement_std,mean_same_mask_repeat_std,proxy_actual_gain_corr
hartmann6,random,0,1.486499309539795,1.8358687162399292,8.320513666956685,0.37816324830055237,0.12724891304969788,0.0,0.2360537201166153,0.0,0.22989840805530548,0.018008895218372345,0.038042474538087845,0.3509446366391771
hartmann6,random,1,0.6004844903945923,2.721883535385132,8.452767209033482,0.38417530059814453,0.12610875070095062,0.0,0.2428787648677826,0.0,0.24851112067699432,0.03208688274025917,0.10283178836107254,0.03335668421954621
hartmann6,random,2,1.5132149457931519,1.8091530799865723,8.469589125015773,0.3849373161792755,0.12796495854854584,0.0,0.24154680967330933,0.0,0.2583904266357422,0.022950006648898125,0.04204700142145157,-0.03095404049346013
hartmann6,random,3,1.4515076875686646,1.8708603382110596,8.543385957949795,0.38828957080841064,0.1278337836265564,0.0,0.2452007234096527,0.0,0.29056036472320557,0.03201569989323616,0.061147525906562805,-0.5755642214586135
hartmann6,random,4,0.6772187948226929,2.6451492309570312,8.58049870794639,0.38997727632522583,0.12829044461250305,0.0,0.24623823165893555,0.0,0.2984221279621124,0.05243033543229103,0.08945778012275696,-0.47212781325016867
hartmann6,gfn,0,1.7320514917373657,1.5903165340423584,416.47187399992254,18.93048667907715,0.13141494989395142,18.396879196166992,18.783235549926758,0.0,0.32174646854400635,0.08144624531269073,0.06404688954353333,-0.040441554052301265
hartmann6,gfn,1,0.23869119584560394,3.083676815032959,419.6180729169864,19.073503494262695,0.13053427636623383,18.532560348510742,18.9263973236084,0.0,0.3571608066558838,0.1823849081993103,0.11605498939752579,0.10707256872622599
hartmann6,gfn,2,1.4784066677093506,1.8439613580703735,414.4925620419672,18.84052276611328,0.12711596488952637,18.314878463745117,18.69773292541504,0.0,0.36254724860191345,0.09621452540159225,0.06707853078842163,-0.06298873361458518
hartmann6,gfn,3,1.114824891090393,2.207543134689331,404.6544688330032,18.393339157104492,0.12604403495788574,17.881092071533203,18.252071380615234,0.0,0.3322252333164215,0.1525348573923111,0.06699451059103012,-0.3226072993751027
hartmann6,gfn,4,0.2576502561569214,3.0647177696228027,410.74377266701777,18.670122146606445,0.12818796932697296,18.147525787353516,18.526138305664062,0.0,0.34323757886886597,0.293920636177063,0.12469789385795593,-0.2556492103553776
