benchmark,random_final_regret_mean,random_final_regret_std,gfn_final_regret_mean,gfn_final_regret_std,regret_gain_of_gfn,slowdown_factor,random_floor_reward_fraction,gfn_floor_reward_fraction,random_repeat_std,gfn_repeat_std
branin,4.611563205718994,0.21018743515014648,4.611563205718994,0.21018743515014648,0.0,6.1997935626115925,0.0,0.0,1.459271788597107,1.591685175895691
hartmann6,1.902785301208496,0.35639309883117676,2.049184799194336,0.20999348163604736,-0.14639949798583984,7.660687663037851,0.0,0.0,0.03283213451504707,0.029604855924844742
ackley10,19.85475730895996,0.5635471343994141,19.85475730895996,0.5635471343994141,0.0,9.198405712476651,0.0,0.0,0.028260303661227226,0.04336490109562874
