benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_same_mask_repeat_std
hartmann6,random,0,1.5463922023773193,1.7759758234024048,0.07804258400574327,0.019509155303239822,0.011885249987244606,0.0,0.004968530964106321,0.0,0.00042092936928384006,0.036319371312856674
hartmann6,random,1,2.259178400039673,1.0631895065307617,0.07236454100348055,0.018089614808559418,0.010752520523965359,0.0,0.0047747292555868626,0.0,0.0021953971590846777,0.029344899579882622
hartmann6,gfn,0,1.8391914367675781,1.483176589012146,0.6113338749855757,0.15283188223838806,0.012339260429143906,0.12146298587322235,0.13790220022201538,0.0,0.006477797403931618,0.026531793177127838
hartmann6,gfn,1,2.259178400039673,1.0631895065307617,0.6004306660033762,0.15010611712932587,0.012462803162634373,0.11906071752309799,0.1351088285446167,0.0,0.016030218452215195,0.03267791494727135
