benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_step_improvement_std,mean_same_mask_repeat_std,proxy_actual_gain_corr
hartmann6,random,0,1.486499309539795,1.8358687162399292,8.623482665978372,0.3919323980808258,0.12974587082862854,0.0,0.24647203087806702,0.0,0.011706960387527943,0.018008895218372345,0.038042474538087845,0.3509446366391771
hartmann6,random,1,0.6004844903945923,2.721883535385132,8.682019541040063,0.39459219574928284,0.13286887109279633,0.0,0.2459055781364441,0.0,0.016159765422344208,0.03208688274025917,0.10283178836107254,0.03335668421954621
hartmann6,random,2,1.5132149457931519,1.8091530799865723,8.502841374953277,0.38644906878471375,0.12864601612091064,0.0,0.2426316887140274,0.0,0.017412293702363968,0.022950006648898125,0.04204700142145157,-0.03095404049346013
hartmann6,random,3,1.4515076875686646,1.8708603382110596,8.340258917072788,0.3790598213672638,0.12928806245326996,0.0,0.23478779196739197,0.0,0.02340187504887581,0.03201569989323616,0.061147525906562805,-0.5755642214586135
hartmann6,random,4,0.6772187948226929,2.6451492309570312,8.37372079200577,0.38058212399482727,0.12453972548246384,0.0,0.24080824851989746,0.0,0.029197730123996735,0.05243033543229103,0.08945778012275696,-0.47212781325016867
hartmann6,gfn,0,1.7320514917373657,1.5903165340423584,425.7605995419435,19.35270118713379,0.12574338912963867,18.81740951538086,19.210895538330078,0.0,0.06067570671439171,0.10150415450334549,0.06294829398393631,-0.040441554052301265
hartmann6,gfn,1,0.23869119584560394,3.083676815032959,424.27015729097184,19.284955978393555,0.13581861555576324,18.73638153076172,19.132570266723633,0.0,0.05360860750079155,0.18407845497131348,0.11898746341466904,0.10707256872622599
hartmann6,gfn,2,1.4784066677093506,1.8439613580703735,418.27873637503944,19.012615203857422,0.13707450032234192,18.469568252563477,18.858144760131836,0.0,0.07511598616838455,0.11484337598085403,0.06007719039916992,-0.06298873361458518
hartmann6,gfn,3,1.114824891090393,2.207543134689331,411.56357750005554,18.707387924194336,0.1340017467737198,18.177732467651367,18.55741310119629,0.0,0.08779538422822952,0.1711030751466751,0.07017943263053894,-0.3226072993751027
hartmann6,gfn,4,0.2576502561569214,3.0647177696228027,427.16289137490094,19.416433334350586,0.13993005454540253,18.864952087402344,19.258995056152344,0.0,0.129546657204628,0.308348685503006,0.12855039536952972,-0.2556492103553776
