benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,mean_oracle_eval_time_sec
branin,random,0,0.28463447093963623,-0.6825218200683594,0.8815617080545053,0.22039000689983368,0.214138925075531,0.0,0.006139489356428385,1.2895470717921853e-05
branin,random,1,3.575068712234497,-3.9729561805725098,0.0837672499474138,0.02094029076397419,0.015097614377737045,0.0,0.005726468749344349,1.1760479537770152e-05
branin,random,2,1.0392721891403198,-1.437159538269043,0.08460845798254013,0.021151740103960037,0.015495416708290577,0.0,0.005578573327511549,1.046876423060894e-05
branin,random,3,1.9462412595748901,-2.3441286087036133,0.0827319580130279,0.020682698115706444,0.015022583305835724,0.0,0.005583906080573797,1.0187242878600955e-05
branin,random,4,1.9679535627365112,-2.3658409118652344,0.08389500004705042,0.020973417907953262,0.015267062932252884,0.0,0.00561422947794199,9.927229257300496e-06
branin,gfn,0,1.8710039854049683,-2.2688913345336914,0.6050053749931976,0.151250958442688,0.015827270224690437,0.11880543828010559,0.016533873975276947,1.31980050355196e-05
branin,gfn,1,3.9480721950531006,-4.345959663391113,0.615118750021793,0.15377940237522125,0.015668675303459167,0.12100967764854431,0.017003927379846573,1.430200063623488e-05
branin,gfn,2,1.0392721891403198,-1.437159538269043,0.6471635829657316,0.16179054975509644,0.016896041110157967,0.12642836570739746,0.01833144761621952,1.5552242984995246e-05
branin,gfn,3,2.7224347591400146,-3.1203222274780273,0.6341470839688554,0.1585359424352646,0.017606863752007484,0.12347309291362762,0.017312781885266304,3.563522477634251e-05
branin,gfn,4,1.9679535627365112,-2.3658409118652344,0.6129117090022191,0.1532275676727295,0.01618388667702675,0.12042362987995148,0.016511322930455208,1.5052268281579018e-05
hartmann6,random,0,2.2374470233917236,1.0849210023880005,0.08796083298511803,0.02198987454175949,0.016060229390859604,0.0,0.005830375012010336,2.4218781618401408e-05
hartmann6,random,1,2.301738739013672,1.0206291675567627,0.08886654197704047,0.022216301411390305,0.016201552003622055,0.0,0.005911385174840689,2.131256042048335e-05
hartmann6,random,2,2.3823704719543457,0.9399976134300232,0.08899733400903642,0.02224903181195259,0.016170676797628403,0.0,0.0059745837934315205,2.0301988115534186e-05
hartmann6,random,3,2.5047683715820312,0.8175997138023376,0.08746937499381602,0.02186703123152256,0.01581396907567978,0.0,0.005954937543720007,2.010396565310657e-05
hartmann6,random,4,0.8559852838516235,2.4663827419281006,0.08856229204684496,0.022140324115753174,0.01618693768978119,0.0,0.005849791690707207,2.0031235180795193e-05
hartmann6,gfn,0,2.2374470233917236,1.0849210023880005,0.7950480419676751,0.19876165688037872,0.01664864644408226,0.1601838767528534,0.02181364595890045,2.9354210710152984e-05
hartmann6,gfn,1,2.301738739013672,1.0206291675567627,0.8097365839639679,0.20243385434150696,0.016729000955820084,0.1636614054441452,0.02192060276865959,3.234323230572045e-05
hartmann6,gfn,2,2.3823704719543457,0.9399976134300232,0.8019926249980927,0.2004978358745575,0.0170852392911911,0.1615493893623352,0.02176005207002163,3.070823731832206e-05
hartmann6,gfn,3,2.453967809677124,0.8684002161026001,0.8432867079973221,0.21082130074501038,0.017109407112002373,0.17164349555969238,0.021944457665085793,3.164578811265528e-05
hartmann6,gfn,4,0.8559852838516235,2.4663827419281006,0.7931788749992847,0.19829440116882324,0.016697198152542114,0.16000694036483765,0.02148876152932644,2.8510461561381817e-05
ackley10,random,0,19.574405670166016,-19.574405670166016,0.09562933398410678,0.023907020688056946,0.017727749422192574,0.0,0.006089051719754934,2.130222856067121e-05
ackley10,random,1,19.298789978027344,-19.298789978027344,0.09213820798322558,0.0230342298746109,0.01692947745323181,0.0,0.006012395489960909,2.1271029254421592e-05
ackley10,random,2,19.170875549316406,-19.170875549316406,0.09294366708490998,0.023235592991113663,0.017100896686315536,0.0,0.006049656309187412,2.0010251319035888e-05
ackley10,random,3,20.225265502929688,-20.225265502929688,0.09573154104873538,0.023932594805955887,0.01766267791390419,0.0,0.006178062874823809,2.0677020074799657e-05
ackley10,random,4,20.55325698852539,-20.55325698852539,0.09225187497213483,0.023062657564878464,0.016826394945383072,0.0,0.006140781566500664,2.10834841709584e-05
ackley10,gfn,0,19.574405670166016,-19.574405670166016,1.0056949999416247,0.2514234185218811,0.017671864479780197,0.2065439224243164,0.027101416140794754,2.8291484341025352e-05
ackley10,gfn,1,19.298789978027344,-19.298789978027344,1.0249253339134157,0.2562309205532074,0.01784323900938034,0.2098328024148941,0.028432313352823257,3.9364502299577e-05
ackley10,gfn,2,19.170875549316406,-19.170875549316406,1.0509802090236917,0.262744665145874,0.02022494748234749,0.2137041985988617,0.028680469840765,3.0291732400655746e-05
ackley10,gfn,3,20.225265502929688,-20.225265502929688,1.0288672499591485,0.2572164237499237,0.01796981319785118,0.21176639199256897,0.027371542528271675,2.8395967092365026e-05
ackley10,gfn,4,20.55325698852539,-20.55325698852539,1.003478541970253,0.2508693039417267,0.018028322607278824,0.20539581775665283,0.02733016572892666,2.8624956030398607e-05
