benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,mean_oracle_eval_time_sec
hartmann6,random,0,0.4255608320236206,2.8968071937561035,6.189596957992762,0.28131750226020813,0.10801713913679123,0.0,0.17317284643650055,2.3641840016352944e-05
hartmann6,random,1,0.4651600122451782,2.857208013534546,5.6783259579679,0.25807756185531616,0.08390478789806366,0.0,0.17405112087726593,2.298873550898861e-05
hartmann6,random,2,0.44189560413360596,2.880472421646118,5.684150082990527,0.2583423852920532,0.08494195342063904,0.0,0.17326930165290833,2.3596734536113217e-05
hartmann6,random,3,1.1575323343276978,2.1648356914520264,5.724923499976285,0.2601955831050873,0.0846598893404007,0.0,0.17540480196475983,2.3465725462301634e-05
hartmann6,random,4,0.2954815626144409,3.026886463165283,5.5748704998986796,0.25337541103363037,0.08272691071033478,0.0,0.17052340507507324,2.2170472220750526e-05
hartmann6,gfn,0,0.37141454219818115,2.950953483581543,314.4707202500431,14.294089317321777,0.0910513624548912,13.896309852600098,0.3065113425254822,2.6982945200870745e-05
hartmann6,gfn,1,0.7825843095779419,2.5397837162017822,315.1522206250811,14.325069427490234,0.09069083631038666,13.923120498657227,0.31096509099006653,2.6479146981728263e-05
hartmann6,gfn,2,0.39592230319976807,2.926445722579956,316.9850649590371,14.408379554748535,0.08813461661338806,14.015713691711426,0.3042319715023041,2.8020907848258503e-05
hartmann6,gfn,3,1.6736094951629639,1.6487585306167603,306.45217033394147,13.929611206054688,0.08987857401371002,13.542563438415527,0.29695358872413635,2.67745454038959e-05
hartmann6,gfn,4,0.2900124788284302,3.032355546951294,300.59022550005466,13.663162231445312,0.0889580100774765,13.282889366149902,0.29107004404067993,2.5715948140714318e-05
