benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_same_mask_repeat_std
branin,random,0,4.821750640869141,-5.219637870788574,0.869059958960861,0.2172628492116928,0.20927679538726807,0.0,0.0052594686858356,1.0,1.3752117566071725e-17,1.600999116897583
branin,random,1,4.401375770568848,-4.799263000488281,0.08068208291660994,0.020168395712971687,0.012308405712246895,0.0,0.0051169064827263355,1.0,1.5244696780977729e-12,1.3175443410873413
branin,gfn,0,12.065278053283691,-12.463165283203125,0.4665615000994876,0.11663901805877686,0.012571698054671288,0.08877430856227875,0.10146132111549377,1.0,3.629322435514393e-17,1.5090711116790771
branin,gfn,1,4.401375770568848,-4.799263000488281,0.43917058303486556,0.10979121923446655,0.011754188686609268,0.08346676081418991,0.09565770626068115,1.0,7.1420256861354225e-12,1.3287053108215332
