benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_same_mask_repeat_std
branin,random,0,4.208397388458252,-4.6062846183776855,0.896962916944176,0.2242382913827896,0.21708321571350098,0.0,0.004717176780104637,0.0,0.13430754840373993,1.0187171697616577
branin,random,1,4.3226637840271,-4.720551013946533,0.07000320800580084,0.017499271780252457,0.010522207245230675,0.0,0.0046128020621836185,0.0,0.14190573990345,0.8283489942550659
branin,gfn,0,4.208397388458252,-4.6062846183776855,0.4799785839859396,0.11999288946390152,0.012454082258045673,0.09178236871957779,0.10494943708181381,0.0,0.1433314085006714,1.0472393035888672
branin,gfn,1,4.3226637840271,-4.720551013946533,0.44753775000572205,0.1118832677602768,0.012298520654439926,0.08498317748308182,0.09715188294649124,0.0,0.35843777656555176,0.4758465588092804
