benchmark,random_final_regret_mean,random_final_regret_std,gfn_final_regret_mean,gfn_final_regret_std,regret_gain_of_gfn,slowdown_factor,random_floor_reward_fraction,gfn_floor_reward_fraction,random_improvement_std,gfn_improvement_std,random_repeat_std,gfn_repeat_std,random_proxy_actual_gain_corr,gfn_proxy_actual_gain_corr
branin,1.976618766784668,1.8077017068862915,1.9086925983428955,1.8086071014404297,0.06792616844177246,1.6352990947408572,0.0,0.0,0.19645202159881592,2.2299933433532715,1.5841623544692993,1.4133129119873047,-0.3273780941963196,-0.12661847472190857
hartmann6,2.3922324180603027,0.4491760730743408,2.2768118381500244,0.36540213227272034,0.11542057991027832,6.955236761943678,0.0,0.0,0.0021273784805089235,0.012740778736770153,0.016806794330477715,0.022390753030776978,0.1750335991382599,0.12134120613336563
ackley10,20.499011993408203,0.254766047000885,20.499011993408203,0.254766047000885,0.0,8.63281066629087,0.0,0.0,0.004556276835501194,0.02067728340625763,0.023703720420598984,0.030538450926542282,-0.49377697706222534,-0.17054753005504608
