benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_step_improvement_std,mean_same_mask_repeat_std,proxy_actual_gain_corr
branin,random,0,0.8444899320602417,-1.2423772811889648,4.160623834002763,0.2311110496520996,0.10843220353126526,0.0,0.11579428613185883,0.0,0.30300629138946533,1.021499514579773,1.2755608558654785,-0.27352224234750755
branin,random,1,0.00502955075353384,-0.40291690826416016,3.605476333061233,0.2002752721309662,0.07701795548200607,0.0,0.1163138821721077,0.0,0.28305739164352417,1.864022135734558,1.0527220964431763,0.1631364219688141
branin,random,2,4.819738388061523,-5.217625617980957,3.633044374990277,0.20180600881576538,0.07877127826213837,0.0,0.11611909419298172,0.0,0.34651005268096924,3.3399813175201416,1.6286094188690186,-0.10322832936038008
branin,random,3,4.265460014343262,-4.663347244262695,3.721748457988724,0.20673109591007233,0.08059420436620712,0.0,0.11892611533403397,0.0,0.3446129560470581,1.9878923892974854,1.0190104246139526,-0.15685443235861263
branin,random,4,2.4441816806793213,-2.842069149017334,3.789447749964893,0.21049238741397858,0.08266334980726242,0.0,0.1206338033080101,0.0,0.34221351146698,0.9833444952964783,0.610792338848114,-0.0973249643082097
branin,gfn,0,2.4296634197235107,-2.8275508880615234,124.26294749998488,6.90346097946167,0.08022221177816391,6.634920120239258,6.816247940063477,0.0,0.3354792892932892,2.812910556793213,0.9754189252853394,0.27168090308417703
branin,gfn,1,0.93529212474823,-1.3331794738769531,124.56221141701099,6.920081615447998,0.08026091009378433,6.653653144836426,6.832529067993164,0.0,0.33362945914268494,10.261211395263672,1.0807058811187744,0.1929686193862522
branin,gfn,2,4.715020656585693,-5.112907886505127,121.43923120899126,6.746585369110107,0.0790284052491188,6.486913681030273,6.660375595092773,0.0,0.3249695897102356,6.110219955444336,1.6105730533599854,-0.15639316227856598
branin,gfn,3,4.653558731079102,-5.051445960998535,120.79348358302377,6.7107133865356445,0.07847148925065994,6.453094482421875,6.625241279602051,0.0,0.3304734230041504,5.100984573364258,1.0956828594207764,-0.2513086020695969
branin,gfn,4,2.4441816806793213,-2.842069149017334,119.21829904196784,6.623204231262207,0.07857820391654968,6.365331172943115,6.537556171417236,0.0,0.33125102519989014,5.540719032287598,0.7495448589324951,0.02488278261775917
