benchmark,random_final_regret_mean,random_final_regret_std,gfn_final_regret_mean,gfn_final_regret_std,regret_gain_of_gfn,slowdown_factor,random_floor_reward_fraction,gfn_floor_reward_fraction,random_improvement_std,gfn_improvement_std,random_repeat_std,gfn_repeat_std,random_proxy_actual_gain_corr,gfn_proxy_actual_gain_corr
branin,3.549499750137329,2.1021578311920166,3.549499750137329,2.1021578311920166,0.0,0.9807748655697667,0.0,0.0,0.10636427998542786,2.7465128898620605,0.9749964475631714,1.0742193460464478,0.6237483620643616,0.6046737432479858
hartmann6,1.8615951538085938,0.8330618739128113,1.8615951538085938,0.8330618739128113,0.0,7.850567522487753,0.0,0.0,0.0020798244513571262,0.015890149399638176,0.016559958457946777,0.015044908039271832,0.7696727514266968,-0.16982045769691467
ackley10,20.251590728759766,0.21873092651367188,20.251590728759766,0.21873092651367188,0.0,9.801804361436284,0.0,0.0,0.0037522674538195133,0.014378157444298267,0.02960137091577053,0.03664986044168472,-0.7470396161079407,-0.8465876579284668
