benchmark,random_final_regret_mean,random_final_regret_std,gfn_final_regret_mean,gfn_final_regret_std,regret_gain_of_gfn,slowdown_factor,random_floor_reward_fraction,gfn_floor_reward_fraction,random_improvement_std,gfn_improvement_std,random_repeat_std,gfn_repeat_std,random_proxy_actual_gain_corr,gfn_proxy_actual_gain_corr
branin,2.4757800102233887,1.8688932657241821,3.035543203353882,1.4537174701690674,-0.5597631931304932,32.2720875746633,0.0,0.0,1.8393479585647583,5.965208530426025,1.117339015007019,1.10238516330719,-0.09355870634317398,0.016366103664040565
hartmann6,0.7293965220451355,0.5218794941902161,0.8533711433410645,0.4977770447731018,-0.12397462129592896,47.82162959528881,0.0,0.0,0.04176735132932663,0.1718679964542389,0.07358505576848984,0.09853159636259079,-0.030076080933213234,0.12894266843795776
ackley10,19.51189613342285,0.8592157959938049,18.30474281311035,0.6267252564430237,1.2071533203125,93.24999624745949,0.0,0.0,0.042254965752363205,0.24556776881217957,0.04363023862242699,0.13175912201404572,-0.28019949793815613,0.160599023103714
