benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_step_improvement_std,mean_same_mask_repeat_std,proxy_actual_gain_corr
hartmann6,random,0,1.1910208463668823,2.131347179412842,0.1316013749456033,0.03287891671061516,0.012377480044960976,0.0,0.01767762377858162,0.0,0.2876710295677185,0.03704279661178589,0.03475789725780487,0.12268641926819812
hartmann6,random,1,2.1571433544158936,1.1652246713638306,0.08818316692486405,0.02202613651752472,0.013029583729803562,0.0,0.0061682602390646935,0.0,0.2876710295677185,0.027728809043765068,0.02714497223496437,0.3997313195390604
hartmann6,gfn,0,1.9140238761901855,1.4083441495895386,0.6415375419892371,0.16036172211170197,0.01255890540778637,0.12726984918117523,0.14504623413085938,0.0,0.2876710295677185,0.05788937211036682,0.0383632592856884,-0.012477272261842566
hartmann6,gfn,1,1.7164560556411743,1.6059119701385498,0.6541787920286879,0.16352589428424835,0.013439386151731014,0.1289023756980896,0.14723451435565948,0.0,0.2876710295677185,0.06853168457746506,0.039941661059856415,-0.009454178553244335
