benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_step_improvement_std,mean_same_mask_repeat_std,proxy_actual_gain_corr
hartmann6,random,0,0.33921587467193604,2.983152151107788,5.4165100830141455,0.2461727261543274,0.08431152254343033,0.0,0.15227244794368744,0.0,0.29016849398612976,0.045175276696681976,0.07066270709037781,0.07170923574226441
hartmann6,random,1,0.40143072605133057,2.9209372997283936,5.501857249997556,0.2500481903553009,0.08468163758516312,0.0,0.15478990972042084,0.0,0.2864878475666046,0.04526088014245033,0.08612656593322754,0.25653173580690963
hartmann6,random,2,1.6645245552062988,1.6578434705734253,5.551901082973927,0.2523256838321686,0.08683713525533676,0.0,0.15574389696121216,0.0,0.2743281424045563,0.02560141496360302,0.03615214675664902,-0.3598820523595834
hartmann6,random,3,0.9402672052383423,2.382100820541382,5.508081792038865,0.25033286213874817,0.08417225629091263,0.0,0.15662074089050293,0.0,0.32030507922172546,0.04082952439785004,0.05630426108837128,0.11365858669256425
hartmann6,random,4,0.30154430866241455,3.0208237171173096,5.733334874967113,0.26057249307632446,0.08688309043645859,0.0,0.16387446224689484,0.0,0.2686762511730194,0.051969680935144424,0.11867965012788773,-0.23239791989279854
hartmann6,gfn,0,0.7755495309829712,2.546818494796753,262.7478261250071,11.943044662475586,0.08465086668729782,11.610057830810547,11.848807334899902,0.0,0.35121047496795654,0.19361275434494019,0.09626252949237823,-0.21661737957067065
hartmann6,gfn,1,0.9998222589492798,2.3225457668304443,258.9196253330447,11.769039154052734,0.0845630094408989,11.438719749450684,11.674997329711914,0.0,0.32905617356300354,0.14394411444664001,0.05868527665734291,0.23762193208255072
hartmann6,gfn,2,1.7108241319656372,1.611543893814087,253.83871408295818,11.53808879852295,0.08579469472169876,11.211568832397461,11.442925453186035,0.0,0.33954310417175293,0.10021782666444778,0.051461901515722275,0.05303989229175745
hartmann6,gfn,3,0.5442217588424683,2.778146266937256,270.06010441703256,12.275421142578125,0.08827199786901474,11.927931785583496,12.1765718460083,0.0,0.34055039286613464,0.18518994748592377,0.13593821227550507,0.5088301398736678
hartmann6,gfn,4,0.23643766343593597,3.085930347442627,279.65166954207234,12.711404800415039,0.0870850458741188,12.354811668395996,12.612717628479004,0.0,0.3421964943408966,0.2363753318786621,0.15031005442142487,0.06183877044567331
