benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_same_mask_repeat_std
ackley10,random,0,19.291210174560547,-19.291210174560547,0.08594662498217076,0.021485166624188423,0.013270573690533638,0.0,0.005290395580232143,0.0,0.0009418921545147896,0.036586862057447433
ackley10,random,1,20.418304443359375,-20.418304443359375,0.08217858301941305,0.020543280988931656,0.01276704203337431,0.0,0.005088344216346741,0.0,0.0017187193734571338,0.01993374526500702
ackley10,gfn,0,19.291210174560547,-19.291210174560547,0.7648112500319257,0.19120119512081146,0.014220312237739563,0.1539374589920044,0.17423148453235626,0.0,0.0060989647172391415,0.04339228942990303
ackley10,gfn,1,20.418304443359375,-20.418304443359375,0.7590914170723408,0.18977153301239014,0.013608021661639214,0.15316660702228546,0.1735343039035797,0.0,0.03285288065671921,0.043852292001247406
