benchmark,method,seed,final_regret,final_best_value,total_wall_time_sec,mean_iteration_time_sec,mean_surrogate_train_time_sec,mean_gfn_train_time_sec,mean_proposal_time_sec,floor_reward_fraction,mean_step_reward_std,mean_step_improvement_std,mean_same_mask_repeat_std,proxy_actual_gain_corr
ackley10,random,0,20.701297760009766,-20.701297760009766,0.09233029105234891,0.02304007299244404,0.014593718573451042,0.0,0.005465823225677013,0.0,0.14190573990345,0.002289330121129751,0.026530422270298004,-0.858489197432446
ackley10,random,1,20.643970489501953,-20.643970489501953,0.09979462495539337,0.02490749955177307,0.016353780403733253,0.0,0.0055296774953603745,0.0,0.1435323804616928,0.0015676021575927734,0.022757308557629585,0.8507597837706172
ackley10,random,2,20.76622772216797,-20.76622772216797,0.09126000001560897,0.022768376395106316,0.014128344133496284,0.0,0.005504958797246218,0.0,0.2789399027824402,0.005000365898013115,0.015830662101507187,-0.9548431782626546
ackley10,random,3,20.226505279541016,-20.226505279541016,0.09371379110962152,0.023382896557450294,0.014938166365027428,0.0,0.005459384992718697,0.0,0.0799930989742279,0.006614730693399906,0.029714426025748253,-0.6821736664548566
ackley10,random,4,20.157058715820312,-20.157058715820312,0.08734241710044444,0.02178874984383583,0.01355090644210577,0.0,0.005249270237982273,0.0,0.23019978404045105,0.007309353910386562,0.02368577942252159,-0.8241387661319661
ackley10,gfn,0,20.701297760009766,-20.701297760009766,0.7881526671117172,0.19699111580848694,0.014212061651051044,0.1582697331905365,0.17980968952178955,0.0,0.2386782169342041,0.007557181175798178,0.02516501396894455,-0.09670639039892888
ackley10,gfn,1,20.643970489501953,-20.643970489501953,0.8201606660149992,0.2049858421087265,0.015842095017433167,0.16349293291568756,0.18588176369667053,0.0,0.25131893157958984,0.023953307420015335,0.03539097309112549,0.5354096038183149
ackley10,gfn,2,20.76622772216797,-20.76622772216797,0.8060449999757111,0.20146486163139343,0.015322134830057621,0.1616496592760086,0.18312890827655792,0.0,0.3240641951560974,0.015311107039451599,0.020037896931171417,-0.5241179510214614
ackley10,gfn,3,20.226505279541016,-20.226505279541016,0.7991544160759076,0.19974148273468018,0.014857187867164612,0.16015596687793732,0.181932732462883,0.0,0.32722723484039307,0.022450771182775497,0.035758405923843384,-0.5314300250329898
ackley10,gfn,4,20.157058715820312,-20.157058715820312,0.7959195419680327,0.1989351511001587,0.015713093802332878,0.15924671292304993,0.1804720014333725,0.0,0.33609554171562195,0.0341140478849411,0.03633996471762657,-0.23589292754692798
